User_Text,Sentiment_Label,Recommended_Song_ID,Song_Name,Artist,Genre,Tempo_BPM,Mood,Energy,Danceability
Art lead will and.,Happy,S105,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Week keep upon beautiful foot seem.,Motivated,S106,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Tend south gun.,Motivated,S107,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Forget physical dark theory value job movie task.,Sad,S108,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Along note day mouth night sell theory.,Relaxed,S109,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Forward writer person.,Happy,S110,Happy,Pharrell Williams,Pop,160,Joyful,High,High
A heavy million level.,Motivated,S111,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Financial majority edge military.,Happy,S112,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Among person yourself official image professor wait.,Sad,S113,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
This total writer loss wife company any sometimes.,Happy,S114,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Art somebody eat care.,Happy,S115,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Forward ground home various move husband.,Sad,S116,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Strong trade join scientist campaign.,Happy,S117,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Society suffer card protect quality organization.,Sad,S118,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Subject bed receive business they think doctor.,Relaxed,S119,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Cause accept data.,Sad,S120,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
View best certain miss cup.,Sad,S121,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Set bill every detail.,Sad,S122,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Check character protect act sister.,Motivated,S123,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Respond story career leg back result.,Relaxed,S124,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Like go think others allow television present among.,Relaxed,S125,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Attorney later meet.,Relaxed,S126,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Power green use election.,Motivated,S127,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Story artist several important.,Motivated,S128,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Mind very case under range machine.,Relaxed,S129,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
First according interesting.,Relaxed,S130,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
According go direction wish.,Motivated,S131,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Yes bar team size.,Happy,S132,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Space cup over exactly.,Happy,S133,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Expert let growth hope heart service move.,Sad,S134,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Religious continue attack billion.,Motivated,S135,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Stay admit design someone return data eye.,Motivated,S136,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Here write world hear officer serious.,Happy,S137,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Behavior look politics trip.,Happy,S138,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Far me goal area more bad.,Sad,S139,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Old yeah speak interview clearly.,Happy,S140,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Own use listen.,Happy,S141,Happy,Pharrell Williams,Pop,160,Joyful,High,High
For really employee.,Happy,S142,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Road will no most whether.,Sad,S143,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Quite prepare keep environment speech run.,Sad,S144,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Cut south serious sure dream detail within.,Motivated,S145,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Worry movie your risk reach.,Motivated,S146,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Yet believe control.,Relaxed,S147,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Out short reduce ahead.,Motivated,S148,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Federal natural rule senior knowledge myself.,Sad,S149,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Of wait opportunity yeah send.,Motivated,S150,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Them arrive population later land apply.,Relaxed,S151,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Yes garden local spring.,Relaxed,S152,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Republican poor same lead cause.,Happy,S153,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Thank those eight physical attack stage old.,Happy,S154,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Individual financial interesting ball.,Motivated,S155,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Sure trade throughout employee member.,Sad,S156,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Chair rise new state term rate.,Relaxed,S157,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Weight feel produce.,Happy,S158,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
West no how.,Motivated,S159,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Option speech no Mr.,Happy,S160,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Democrat crime imagine appear black field southern will.,Relaxed,S161,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Effect sit cultural walk second discussion design behind.,Motivated,S162,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Politics career just them.,Happy,S163,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Yes behind down if before.,Relaxed,S164,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Wrong represent father civil return benefit.,Sad,S165,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
In book society its win.,Sad,S166,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Me the purpose yes other despite network.,Motivated,S167,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Road always central long change drug.,Sad,S168,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Lay arrive little matter course quite.,Happy,S169,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Attention often news leader.,Motivated,S170,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Series summer Congress mouth onto.,Motivated,S171,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Today large letter such.,Happy,S172,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Want sing site evening political health.,Motivated,S173,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Child seek collection structure everything.,Happy,S174,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Skill mean know beat design attention likely.,Happy,S175,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Possible church father medical future nor.,Relaxed,S176,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Great manager current star.,Motivated,S177,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Happen build forward wait real.,Sad,S178,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Consider value leave sister think.,Happy,S179,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Kitchen left hot small woman evidence its over.,Motivated,S180,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Media suggest write off itself ability.,Motivated,S181,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Understand teacher ask most trial high miss what.,Sad,S182,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Make avoid myself room.,Happy,S183,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Close hard oil consumer discuss someone.,Relaxed,S184,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Number fall future others.,Relaxed,S185,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Cultural others reality test.,Relaxed,S186,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Enter scene help total rest peace.,Happy,S187,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Whatever would can admit technology college.,Happy,S188,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
None country crime get couple claim body however.,Happy,S189,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Medical fall senior half above.,Relaxed,S190,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Public want sport successful trade debate watch interview.,Sad,S191,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Machine source artist.,Happy,S192,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Game police your accept drug company before.,Motivated,S193,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Time early movie.,Motivated,S194,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Cell join girl seek no center movie.,Sad,S195,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Need tax these health defense billion remember.,Sad,S196,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Several allow their fight.,Happy,S197,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Dog water town dog own add accept.,Happy,S198,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Kid newspaper he risk everything idea born.,Sad,S199,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Their yard seem civil worker term case.,Sad,S200,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Something condition government military policy rather.,Sad,S201,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Situation card recognize onto improve cultural.,Happy,S202,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Doctor guy condition he.,Happy,S203,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Should response mother themselves born yeah.,Motivated,S204,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Wait history sort them low price minute.,Happy,S205,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Person meet down something.,Sad,S206,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Investment challenge often year phone scientist away name.,Sad,S207,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Trade across husband other adult yeah three.,Sad,S208,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Organization product father over wrong international.,Motivated,S209,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Question difference small.,Motivated,S210,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Street commercial style certainly travel professor oil many.,Happy,S211,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Not mouth early heavy.,Relaxed,S212,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Common street head though tax.,Relaxed,S213,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Create contain age participant least store.,Sad,S214,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Ahead reflect vote though name health question.,Sad,S215,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Middle effort exactly seat analysis mission bring.,Motivated,S216,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Concern course around recognize such let.,Happy,S217,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Child myself begin enjoy know husband.,Motivated,S218,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
To attack foreign.,Motivated,S219,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Up skill executive ahead could magazine.,Happy,S220,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Fly usually pass into.,Relaxed,S221,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Fight sound theory movement tree fund spend.,Motivated,S222,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Smile change recent beautiful war couple.,Happy,S223,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Occur challenge he ground.,Relaxed,S224,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Include standard tough too remain per wear Mr.,Motivated,S225,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Source relate article design trip.,Motivated,S226,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Us maybe air week with wait.,Relaxed,S227,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Their know range cold theory name see.,Motivated,S228,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Else employee avoid to own believe check.,Happy,S229,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Require under personal reveal after I expect.,Happy,S230,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Bad think drive billion close run network issue.,Happy,S231,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Community finish add likely section region save.,Motivated,S232,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
From ask let movie kid TV.,Relaxed,S233,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Card thing my pay.,Sad,S234,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Appear majority worker administration.,Happy,S235,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Turn appear you husband.,Happy,S236,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Size out thing might.,Happy,S237,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Same action list source back street.,Happy,S238,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Their region after sell after resource fund recognize.,Sad,S239,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Offer middle I room rock sea morning reflect.,Motivated,S240,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Should see read population speak.,Motivated,S241,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Can effort seven follow show similar sing.,Sad,S242,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Candidate account fine hit break instead whole.,Sad,S243,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Tough or education bag her.,Relaxed,S244,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Even anyone turn season.,Happy,S245,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Themselves in administration.,Sad,S246,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Tree city usually itself.,Relaxed,S247,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Between son easy produce.,Relaxed,S248,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Throw near trade shake example.,Motivated,S249,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Successful machine leader.,Relaxed,S250,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Talk join clear both similar agree.,Sad,S251,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Least require fall benefit window miss phone.,Happy,S252,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Other discuss per relate quickly feel eat section.,Relaxed,S253,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Attack but build two summer rest.,Sad,S254,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Identify fine cost long current anything.,Motivated,S255,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Between four agreement she.,Motivated,S256,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Success can decision drive.,Relaxed,S257,Weightless,Marconi Union,Ambient,50,Calm,Low,Low
Show degree air someone force.,Motivated,S258,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Choose west behavior form.,Sad,S259,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Always there attorney add.,Happy,S260,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Inside personal class huge live in really.,Motivated,S261,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Tonight half heart value.,Happy,S262,Uptown Funk,Bruno Mars,Funk,115,Energetic,High,High
Eye capital hear wide simply good.,Happy,S263,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Network leg song former vote energy just.,Sad,S264,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Last both than society.,Sad,S265,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Network thousand action board occur computer.,Relaxed,S266,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Hope believe build carry.,Sad,S267,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Finally appear mean discussion.,Motivated,S268,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Data perform whether be dream.,Sad,S269,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Professor each environment third.,Motivated,S270,Eye of the Tiger,Survivor,Rock,109,Energetic,High,Medium
Wear kind here establish fight own police.,Sad,S271,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Billion computer key style significant.,Motivated,S272,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Break art compare doctor.,Motivated,S273,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
Kid painting my bag bag.,Sad,S274,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Treat attorney reach prevent hotel.,Happy,S275,Happy,Pharrell Williams,Pop,160,Joyful,High,High
Officer media during.,Relaxed,S276,Clair de Lune,Debussy,Classical,60,Soothing,Low,Low
Month administration one what church bring sense.,Happy,S277,Happy,Pharrell Williams,Pop,160,Joyful,High,High
When could follow.,Sad,S278,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Certain among local figure service interesting.,Sad,S279,Someone Like You,Adele,Pop,67,Melancholic,Low,Low
Dinner pressure discuss.,Sad,S280,Fix You,Coldplay,Rock,75,Emotional,Low,Medium
Word argue health hospital should western hospital.,Motivated,S281,Stronger,Kanye West,Hip-Hop,130,Powerful,High,High
